Date,Open,High,Low,Close,Adj Close,Volume,DayOfTheWeek,WeekOf
2014-01-09,184.110001,184.130005,182.800003,183.639999,153.891525,90683400.0,Thursday,1/6/14
2014-01-10,183.949997,184.220001,183.009995,184.139999,154.310486,102026400.0,Friday,1/6/14
2014-01-13,183.669998,184.179993,181.339996,181.690002,152.25737,149892000.0,Monday,1/13/14
2014-01-16,184.279999,184.660004,183.830002,184.419998,154.545181,72290600.0,Thursday,1/13/14
2014-01-17,184.100006,184.449997,183.320007,183.639999,153.891525,107848700.0,Friday,1/13/14
2014-01-21,184.699997,184.770004,183.050003,184.179993,154.344009,88621200.0,Tuesday,1/20/14
2014-01-23,183.369995,183.399994,181.820007,182.789993,153.179169,132496900.0,Thursday,1/20/14
2014-01-24,181.600006,181.660004,178.830002,178.889999,149.91098,208677100.0,Friday,1/20/14
2014-01-27,179.059998,179.520004,177.119995,178.009995,149.173477,180843100.0,Monday,1/27/14
2014-01-30,178.830002,179.809998,178.259995,179.229996,150.195862,118938100.0,Thursday,1/27/14
2014-01-31,177.009995,179.289993,176.919998,178.179993,149.315994,194677900.0,Friday,1/27/14
2014-02-03,177.970001,178.369995,173.830002,174.169998,145.955566,254837100.0,Monday,2/3/14
2014-02-06,175.580002,177.479996,175.220001,177.479996,148.729385,132877600.0,Thursday,2/3/14
2014-02-07,178.309998,179.869995,177.729996,179.679993,150.572983,170787200.0,Friday,2/3/14
2014-02-10,179.699997,180.070007,179.210007,180.009995,150.849533,92218800.0,Monday,2/10/14
2014-02-13,180.839996,183.199997,180.830002,183.009995,153.363556,100542200.0,Thursday,2/10/14
2014-02-14,182.839996,184.360001,182.669998,184.020004,154.209961,96498400.0,Friday,2/10/14
2014-02-18,184.179993,184.490005,183.649994,184.240005,154.394302,80460900.0,Tuesday,2/17/14
2014-02-20,183.270004,184.520004,182.600006,184.100006,154.276962,104998100.0,Thursday,2/17/14
2014-02-21,184.449997,184.889999,183.800003,183.889999,154.101028,118116400.0,Friday,2/17/14
2014-02-24,184.279999,186.149994,184.199997,184.910004,154.955719,114063900.0,Monday,2/24/14
2014-02-27,184.580002,185.869995,184.369995,185.820007,155.718369,93880800.0,Thursday,2/24/14
2014-02-28,185.789993,187.149994,185.050003,186.289993,156.112213,150842000.0,Friday,2/24/14
2014-03-03,184.649994,185.449997,183.75,184.979996,155.014359,167748500.0,Monday,3/3/14
2014-03-06,188.210007,188.610001,187.779999,188.179993,157.69606,82516500.0,Thursday,3/3/14
2014-03-07,188.960007,188.960007,187.429993,188.259995,157.763092,114513500.0,Friday,3/3/14
2014-03-10,187.970001,188.229996,187.080002,188.160004,157.679306,74939200.0,Monday,3/10/14
2014-03-13,187.839996,187.990005,184.660004,185.179993,155.182022,155014300.0,Thursday,3/10/14
2014-03-14,184.850006,185.800003,184.440002,184.660004,154.746277,153919600.0,Friday,3/10/14
2014-03-17,185.589996,186.770004,185.509995,186.330002,156.145737,98359500.0,Monday,3/17/14
2014-03-20,186.25,187.889999,185.919998,187.75,157.335709,117241000.0,Thursday,3/17/14
2014-03-21,187.710007,189.020004,186.029999,186.199997,156.725449,163128000.0,Friday,3/17/14
2014-03-24,186.839996,187.070007,184.619995,185.429993,156.077316,121411000.0,Monday,3/24/14
2014-03-27,184.75,185.339996,183.899994,184.580002,155.361893,142383000.0,Thursday,3/24/14
2014-03-28,185.110001,186.419998,185.0,185.490005,156.127884,101642000.0,Friday,3/24/14
2014-03-31,186.669998,187.300003,185.520004,187.009995,157.407211,99745000.0,Monday,3/31/14
2014-04-03,189.169998,189.220001,188.050003,188.630005,158.770798,77435000.0,Thursday,3/31/14
2014-04-04,189.660004,189.699997,186.100006,186.399994,156.893784,169381000.0,Friday,3/31/14
2014-04-07,185.949997,186.259995,183.960007,184.339996,155.159912,140803000.0,Monday,4/7/14
2014-04-10,187.080002,187.169998,182.929993,183.160004,154.166595,172959000.0,Thursday,4/7/14
2014-04-11,182.139999,183.419998,181.309998,181.509995,152.777878,167251000.0,Friday,4/7/14
2014-04-14,182.929993,183.369995,181.440002,182.940002,153.981491,132382000.0,Monday,4/14/14
2014-04-16,185.470001,186.139999,184.649994,186.130005,156.66655,105197000.0,Wednesday,4/14/14
2014-04-17,185.880005,186.910004,185.559998,186.389999,156.885406,105255000.0,Thursday,4/14/14
2014-04-21,186.440002,187.100006,186.210007,187.039993,157.43248,68329000.0,Monday,4/21/14
2014-04-24,188.369995,188.389999,186.929993,187.830002,158.097427,88170000.0,Thursday,4/21/14
2014-04-25,187.220001,187.330002,185.869995,186.289993,156.801208,100380000.0,Friday,4/21/14
2014-04-28,187.050003,187.690002,184.960007,186.880005,157.297806,135121000.0,Monday,4/28/14
