Date,Open,High,Low,Close,Adj Close,Volume
5/5/21,417.380005,417.630005,415.149994,415.75,400.607025,60162200
5/6/21,415.829987,419.209991,413.679993,419.070007,403.806091,74321400
5/7/21,419.890015,422.820007,419.160004,422.119995,406.745056,67733800
5/10/21,422.5,422.73999,417.809998,417.940002,402.717316,81852400
5/11/21,413.100006,415.269989,410.059998,414.209991,399.123138,116888000
5/12/21,411.230011,412.589996,404,405.410004,390.643646,134811000
5/13/21,407.070007,412.350006,407.019989,410.279999,395.336273,106394000
5/14/21,413.209991,417.48999,413.179993,416.579987,401.40686,82201600
5/17/21,415.390015,416.390015,413.359985,415.519989,400.385406,65129200
5/18/21,415.799988,416.059998,411.769989,411.940002,396.935913,59810200
5/19/21,406.920013,411.049988,405.329987,410.859985,395.895172,106467100
5/20/21,411.799988,416.630005,411.670013,415.279999,400.154175,78022200
5/21/21,416.869995,418.200012,414.450012,414.940002,399.826569,76578700
5/24/21,417.339996,420.320007,417.079987,419.170013,403.902496,51376700
5/25/21,420.329987,420.709991,417.619995,418.23999,403.006348,57451400
5/26/21,418.869995,419.609985,417.76001,419.070007,403.806091,43088600
5/27/21,420.170013,420.720001,418.98999,419.290009,404.018127,56707700
5/28/21,420.970001,421.25,419.790009,420.040009,404.740784,58520200
6/1/21,422.570007,422.720001,419.200012,419.670013,404.384369,54216600
6/2/21,420.369995,421.230011,419.290009,420.329987,405.020233,49097100
6/3/21,417.850006,419.98999,416.279999,418.769989,403.51709,58138800
6/4/21,420.75,422.920013,418.839996,422.600006,407.207581,55938800
6/7/21,422.589996,422.779999,421.190002,422.190002,406.8125,51555000
6/8/21,423.109985,423.209991,420.320007,422.279999,406.8992,47134300
6/9/21,423.179993,423.26001,421.410004,421.649994,406.292114,48436300
6/10/21,422.959991,424.630005,421.549988,423.609985,408.180725,51020100
6/11/21,424.200012,424.429993,422.820007,424.309998,408.855255,45570800
6/14/21,424.429993,425.369995,423.100006,425.26001,409.77066,42358500
6/15/21,425.420013,425.459991,423.540009,424.480011,409.019104,51508500
6/16/21,424.630005,424.869995,419.920013,422.109985,406.735382,80386100
6/17/21,421.670013,423.019989,419.320007,421.970001,406.600494,90949700
6/18/21,417.089996,417.829987,414.700012,414.920013,401.115295,118676300
6/21/21,416.799988,421.059998,415.929993,420.859985,406.857666,72822000
6/22/21,420.850006,424,420.079987,423.109985,409.032776,57700300
6/23/21,423.190002,424.049988,422.51001,422.600006,408.539795,49445400
6/24/21,424.890015,425.549988,424.619995,425.100006,410.956573,45110300
6/25/21,425.899994,427.089996,425.549988,426.609985,412.41629,58129500
6/28/21,427.170013,427.649994,425.890015,427.470001,413.247711,53159600
6/29/21,427.880005,428.559998,427.130005,427.700012,413.470062,35970500
6/30/21,427.209991,428.779999,427.179993,428.059998,413.818115,64827900
7/1/21,428.869995,430.600006,428.799988,430.429993,416.109283,53441000
7/2/21,431.670013,434.100006,430.519989,433.720001,419.289734,57697700
7/6/21,433.779999,434.01001,430.01001,432.929993,418.526062,68710400
7/7/21,433.660004,434.76001,431.51001,434.459991,420.005127,63549500
7/8/21,428.779999,431.730011,427.519989,430.920013,416.582977,97595200
7/9/21,432.529999,435.839996,430.709991,435.519989,421.029877,76238600
7/12/21,435.429993,437.350006,434.970001,437.079987,422.537994,52889600
7/13/21,436.23999,437.839996,435.309998,435.589996,421.097565,52911300
7/14/21,437.399994,437.920013,434.910004,436.23999,421.725952,64130400
7/15/21,434.809998,435.529999,432.720001,434.75,420.285522,55126400
7/16/21,436.01001,436.059998,430.920013,431.339996,416.988892,75874700
7/19/21,426.190002,431.410004,421.970001,424.970001,410.830902,147987000
7/20/21,425.679993,432.420013,424.829987,431.059998,416.718292,99608200
7/21/21,432.339996,434.700012,431.01001,434.549988,420.092194,64724400
7/22/21,434.73999,435.720001,433.690002,435.459991,420.971863,47878500
7/23/21,437.519989,440.299988,436.790009,439.940002,425.302826,63766600
7/26/21,439.309998,441.029999,439.26001,441.019989,426.346924,43719200
7/27/21,439.910004,439.940002,435.98999,439.01001,424.403809,67397100
7/28/21,439.679993,440.299988,437.309998,438.829987,424.229828,52472400
7/29/21,439.820007,441.799988,439.809998,440.649994,425.989227,47435300
7/30/21,437.910004,440.059998,437.769989,438.51001,423.92041,68951200
8/2/21,440.339996,440.929993,437.209991,437.589996,423.031036,58783300
8/3/21,438.440002,441.279999,436.100006,441.149994,426.472534,58053900
8/4/21,439.779999,441.119995,438.730011,438.980011,424.374817,46732200
8/5/21,440.220001,441.850006,439.880005,441.76001,427.062317,38969700
8/6/21,442.100006,442.940002,441.799988,442.48999,427.768005,46930000
8/9/21,442.459991,442.799988,441.309998,442.130005,427.419952,41222600
8/10/21,442.609985,443.440002,441.880005,442.679993,427.95166,43339300
8/11/21,443.820007,443.880005,442.619995,443.779999,429.015106,44034300
8/12/21,443.619995,445.26001,442.660004,445.109985,430.300873,38909400
8/13/21,445.589996,445.940002,445.070007,445.920013,431.083893,39470300
8/16/21,444.529999,447.109985,442.869995,446.970001,432.098999,73740000
8/17/21,444.23999,444.959991,440.850006,444.040009,429.266449,92673900
8/18/21,442.959991,444.630005,438.920013,439.179993,424.568146,89351900
8/19/21,436.269989,441.140015,436.119995,439.859985,425.225525,92812200
8/20/21,440.230011,443.709991,439.709991,443.359985,428.60907,72008700
8/23/21,445.160004,448.230011,443.440002,447.26001,432.379303,54973000
8/24/21,447.970001,448.540009,447.420013,447.970001,433.065704,38744700
8/25/21,448.170013,449.459991,447.769989,448.910004,433.974365,40529700
8/26/21,448.609985,448.859985,446.160004,446.26001,431.412567,57829600
8/27/21,447.119995,450.649994,447.059998,450.25,435.269867,77235100
8/30/21,450.970001,453.070007,450.709991,452.230011,437.183929,48357400
8/31/21,452.130005,452.48999,450.920013,451.559998,436.536285,59300200
9/1/21,452.559998,453.109985,451.549988,451.799988,436.768219,48721400
