PrecedingWeekToFollowingWeek,PrecedingWeekThursdayDate,PrecedingWeekThursdayOpen,PrecedingWeekThursdayHigh,PrecedingWeekThursdayLow,PrecedingWeekThursdayClose,PrecedingWeekThursdayVolume,PrecedingWeekThursdayDayOfTheWeek,UnemploymentRateOutcome,wasItPresidentialElectionWeek,PrecedingWeekFridayDate,PrecedingWeekFridayOpen,PrecedingWeekFridayHigh,PrecedingWeekFridayLow,PrecedingWeekFridayClose,PrecedingWeekFridayVolume,PrecedingWeekFridayDayOfTheWeek,PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio,FollowingWeekMondayDate,FollowingWeekMondayOpen,FollowingWeekMondayHigh,FollowingWeekMondayLow,FollowingWeekMondayClose,FollowingWeekMondayVolume,FollowingWeekMondayDayOfTheWeek,didFridayCloseHigherThanThursdayClose,FridayCloseComparedToThursdayCloseChangeInPercent,wasFridayIntradayPositive,FridayIntradayChangeInPercent,WasMondayOpenHigherThanFridayClose,MondayOpenComparedToFridayCloseChangeInPercent,MondayOpenToFridayCloseRatio,WasMondayCloseHigherThanFridayClose,MondayCloseComparedToFridayCloseChangeInPercent,fridayWasATripleWitchDay,NFPDayOrNot,NFPOutcome,CSIOutcome,CSIActualMinusExpected,CSIDayOrNot,wasItFOMCWeek,FOMCMeetingDate,FOMCAction,FOMCActualVSExpected,FOMCActionSpecial,FOMCPivotAction,PrecedingWeekFridayMonth,UnemploymentActualMinusPreviousInPercent,isItLastFridayOfTheMonth
2012-10-01 to 2012-10-08,10/4/12,135.149994,135.710007,134.960007,135.520004,3911800,Thursday,TIGHT,0,10/5/12,136.089996,136.440002,135.479996,135.960007,4560300,Friday,1.165780459,10/8/12,135.399994,135.860001,135.320007,135.649994,2405000,Monday,1,0.3246775287875509,0,-0.09551694,0,-0.411895389,0.995881046,0,-0.228017788,0,1,Baseline,,,0,0,,,,,,Oct,-0.3,0
2012-10-08 to 2012-10-15,10/11/12,133.910004,134.100006,133.080002,133.130005,3669100,Thursday,,0,10/12/12,133.259995,133.830002,132.75,133.130005,3271200,Friday,0.891553787,10/15/12,133.339996,134.190002,133.059998,134.020004,2641800,Monday,0,0,0,-0.097546154,1,0.1577337881118552,1.001577338,1,0.6685187159723976,0,0,Baseline,Upbeat,5.099999999999994,1,0,,,,,,Oct,0,0
2012-10-15 to 2012-10-22,10/18/12,135.259995,135.770004,135,135.360001,6305000,Thursday,,0,10/19/12,134.800003,134.800003,132.809998,133.110001,10437500,Friday,1.655432197,10/22/12,132.929993,133.389999,132.039993,133.100006,5591900,Monday,0,-1.66223403,0,-1.253710655,0,-0.135232513,0.998647675,0,-0.007508827,0,0,Baseline,,,0,0,,,,,,Oct,0,0
2012-10-29 to 2012-11-05,11/1/12,131.020004,132.440002,130.970001,131.979996,3807400,Thursday,BASELINE,0,11/2/12,132.559998,132.610001,130.470001,130.669998,5141300,Friday,1.350344067,11/5/12,130.460007,131.130005,130.110001,130.869995,2710700,Monday,0,-0.992573147,0,-1.425769484,0,-0.160703301,0.998392967,1,0.1530550264491442,0,1,Baseline,,,0,0,,,,,,Nov,0.1,0
2012-11-05 to 2012-11-12,11/8/12,129.179993,129.679993,127.989998,127.989998,8427500,Thursday,,1,11/9/12,127.360001,128.789993,127.279999,127.919998,6571600,Friday,0.779780481,11/12/12,128.190002,128.539993,127.699997,128.039993,3758200,Monday,0,-0.054691774,1,0.4396961334822931,1,0.2110725486408981,1.002110725,1,0.093804723,0,0,Baseline,Baseline,1.9000000000000057,1,0,,,,,,Nov,0,0
2012-11-12 to 2012-11-19,11/15/12,125.57,126.050003,125.010002,125.510002,7658000,Thursday,,0,11/16/12,125.25,125.769997,124.419998,125.599998,9350400,Friday,1.22099765,11/19/12,126.629997,127.68,126.510002,127.629997,9551500,Monday,1,0.071704246,1,0.27943952095808333,1,0.8200629111475014,1.008200629,1,1.6162412677745455,0,0,Baseline,,,0,0,,,,,,Nov,0,0
2012-11-26 to 2012-12-03,11/29/12,130.229996,130.539993,129.509995,130.139999,6112800,Thursday,,0,11/30/12,130.25,130.460007,129.779999,130.100006,4979600,Friday,0.814618505,12/3/12,130.690002,130.800003,129.490005,129.550003,5820800,Monday,0,-0.030730752,0,-0.115158541,1,0.4534942142892638,1.004534942,0,-0.422754016,0,0,Baseline,,,0,0,,,,,,Nov,0,1
2012-12-03 to 2012-12-10,12/6/12,130.339996,130.800003,130.089996,130.740005,4129400,Thursday,TIGHT,0,12/7/12,131.300003,131.610001,130.820007,131.559998,3993200,Friday,0.967017,12/10/12,131.589996,132.009995,131.570007,131.740005,3480900,Monday,1,0.6271936428333553,1,0.19801598938272952,1,0.022801763800578793,1.000228018,1,0.13682502488331533,0,1,Baseline,Shock,-7.9,1,0,,,,,,Dec,-0.2,0
2012-12-10 to 2012-12-17,12/13/12,132.529999,132.720001,131.550003,131.820007,3844500,Thursday,,0,12/14/12,131.699997,132,131.259995,131.460007,3114300,Friday,0.810066329,12/17/12,131.649994,132.520004,131.630005,132.440002,4534100,Monday,0,-0.273099667,0,-0.182224757,1,0.14452075907770348,1.001445208,1,0.7454700652800075,0,0,Baseline,,,0,1,12/12/12,Pause,Match,,,Dec,0,0
2012-12-17 to 2012-12-24,12/20/12,132.570007,133.279999,132.270004,133.190002,5530500,Thursday,,0,12/21/12,131.059998,132.020004,130.830002,131.789993,11495800,Friday,2.07861857,12/24/12,131.289993,131.419998,130.970001,130.970001,1997400,Monday,0,-1.051136706,1,0.5569929888141784,0,-0.379391476,0.996206085,0,-0.622195951,1,0,Baseline,Baseline,-1.8,1,0,,,,,,Dec,0,0
2012-12-24 to 2012-12-31,12/27/12,130.940002,131.139999,129.339996,130.600006,8308600,Thursday,,0,12/28/12,129.820007,130.449997,128.970001,129.070007,8570000,Friday,1.031461377,12/31/12,128.660004,130.899994,128.539993,130.580002,12067800,Monday,0,-1.17151526,0,-0.57772297,0,-0.317659392,0.996823406,1,1.1699038646523072,0,0,Baseline,,,0,0,,,,,,Dec,0,1
2012-12-31 to 2013-01-07,1/3/13,133.639999,134.050003,133.309998,133.630005,8665200,Thursday,BASELINE,0,1/4/13,133.699997,134.199997,133.490005,134.059998,4759300,Friday,0.549242949,1/7/13,133.690002,133.729996,133.160004,133.509995,6119700,Monday,1,0.3217787801474647,1,0.26926029026014947,0,-0.275992843,0.997240072,0,-0.410266305,0,1,Baseline,,,0,0,,,,,,Jan,0,0
2013-01-07 to 2013-01-14,1/10/13,134.199997,134.580002,133.630005,134.539993,6004300,Thursday,,0,1/11/13,134.460007,134.800003,134.210007,134.720001,4508000,Friday,0.750795263,1/14/13,134.660004,135,134.399994,134.889999,4298000,Monday,1,0.13379516081882553,1,0.19336158445983576,0,-0.04453459,0.999554654,1,0.1261861629588264,0,0,Baseline,,,0,0,,,,,,Jan,0,0
2013-01-21 to 2013-01-28,1/24/13,137.589996,138.490005,137.570007,138.020004,6288000,Thursday,,0,1/25/13,138.389999,138.630005,138.039993,138.619995,4461000,Friday,0.709446565,1/28/13,138.850006,138.880005,138.300003,138.649994,3167700,Monday,1,0.434713072,1,0.16619409036920355,1,0.16592916483658715,1.001659292,1,0.021641178,0,0,Baseline,,,0,0,,,,,,Jan,0,1
2013-01-28 to 2013-02-04,1/31/13,138.759995,140.220001,138.320007,138.410004,3935300,Thursday,BASELINE,0,2/1/13,139.289993,139.889999,139.039993,139.740005,5234900,Friday,1.330241659,2/4/13,138.809998,138.979996,138.360001,138.570007,6536200,Monday,1,0.9609139235340316,1,0.3230756139100292,0,-0.665526669,0.993344733,0,-0.837267753,0,1,Baseline,Baseline,2.299999999999997,1,1,1/30/13,Pause,Match,,,Feb,0.1,0
2013-02-04 to 2013-02-11,2/7/13,139.589996,139.639999,138.320007,139.289993,6637600,Thursday,,0,2/8/13,139.369995,140.029999,139.369995,139.729996,3573800,Friday,0.5384175,2/11/13,139.619995,139.679993,139.210007,139.520004,2542800,Monday,1,0.3158898859302765,1,0.25830595746237284,0,-0.07872397,0.99921276,0,-0.150284124,0,0,Baseline,,,0,0,,,,,,Feb,0,0
2013-02-18 to 2013-02-25,2/21/13,138.649994,138.880005,138.059998,138.509995,7517900,Thursday,,0,2/22/13,139.240005,139.830002,138.860001,139.809998,4158500,Friday,0.55314649,2/25/13,140.330002,140.589996,137.600006,137.660004,10031600,Monday,1,0.9385625925407071,1,0.40936008297328835,1,0.37193620444798237,1.003719362,0,-1.537797032,0,0,Baseline,,,0,0,,,,,,Feb,0,1
2013-02-25 to 2013-03-04,2/28/13,140.449997,141.309998,140.179993,140.279999,11383200,Thursday,,0,3/1/13,139.889999,140.899994,139.169998,140.740005,6506400,Friday,0.571579169,3/4/13,140.360001,141.100006,140.100006,141.070007,3619700,Monday,1,0.32791987687424545,1,0.6076245664995735,0,-0.270004254,0.997299957,1,0.23447633101903576,0,0,Baseline,Baseline,1.2999999999999972,1,0,,,,,,Mar,0,0
2013-03-04 to 2013-03-11,3/7/13,142.979996,143.389999,142.899994,143.139999,3689100,Thursday,TIGHT,0,3/8/13,143.949997,144.020004,143.210007,143.759995,5680700,Friday,1.539860671,3/11/13,143.729996,144.360001,143.610001,144.360001,4373000,Monday,1,0.4331395866504196,0,-0.131991667,0,-0.020867419,0.999791326,1,0.4173664585895454,0,1,Baseline,,,0,0,,,,,,Mar,-0.2,0
2013-03-11 to 2013-03-18,3/14/13,144.809998,145.350006,144.759995,145.330002,5361200,Thursday,,0,3/15/13,144.820007,144.889999,144.389999,144.820007,10835400,Friday,2.021077371,3/18/13,143.850006,144.880005,143.699997,144.169998,5511200,Monday,0,-0.350922035,0,0,0,-0.669797648,0.993302024,0,-0.448839227,1,0,Baseline,Shock,-6.2,1,0,,,,,,Mar,0,0
2013-03-18 to 2013-03-25,3/21/13,144.119995,144.589996,143.490005,143.889999,6075700,Thursday,,0,3/22/13,144.309998,144.940002,144.279999,144.899994,5027800,Friday,0.827526046,3/25/13,145.089996,145.320007,143.600006,144.210007,9603200,Monday,1,0.7019216116611438,1,0.4088393099416335,1,0.13112629942553422,1.001311263,0,-0.476181524,0,0,Baseline,,,0,1,3/20/13,Pause,Match,,,Mar,0,0
2013-04-01 to 2013-04-08,4/4/13,145.360001,145.979996,145.089996,145.770004,7520100,Thursday,BASELINE,0,4/5/13,144.179993,145.509995,144.050003,145.309998,7307400,Friday,0.971715802,4/8/13,145.320007,145.949997,144.759995,145.949997,3865000,Monday,0,-0.315569724,1,0.7837460499807427,1,0.006888033,1.00006888,1,0.44043700282756104,0,1,Baseline,,,0,0,,,,,,Apr,-0.1,0
2013-04-08 to 2013-04-15,4/11/13,147.820007,148.660004,147.630005,148.399994,6975600,Thursday,,0,4/12/13,147.990005,148.460007,147.679993,148.419998,8710800,Friday,1.248752795,4/15/13,147.899994,147.929993,145.720001,145.809998,14177400,Monday,1,0.013479784911581692,1,0.2905554331186056,0,-0.350359795,0.996496402,0,-1.758523134,0,0,Baseline,Shock,-6.2,1,0,,,,,,Apr,0,0
2013-04-15 to 2013-04-22,4/18/13,146.100006,146.119995,144.770004,145.179993,8277100,Thursday,,0,4/19/13,144.710007,145.210007,144.360001,145.139999,6028600,Friday,0.728346885,4/22/13,145.380005,145.570007,144.240005,145.320007,11711700,Monday,0,-0.027547873,1,0.29714047349883593,1,0.16536172085823314,1.001653617,1,0.12402370210848289,0,0,Baseline,,,0,0,,,,,,Apr,0,0
2013-04-22 to 2013-04-29,4/25/13,146.639999,147.419998,146.360001,146.759995,4160500,Thursday,,0,4/26/13,146.550003,147.149994,146.520004,146.880005,3242600,Friday,0.779377479,4/29/13,147.199997,148.149994,146.910004,147.860001,6132000,Monday,1,0.081772965,1,0.22518047986666195,1,0.21785946970793263,1.002178595,1,0.6672085829517774,0,0,Baseline,Baseline,3.200000000000003,1,0,,,,,,Apr,0,1
2013-04-29 to 2013-05-06,5/2/13,147.119995,148.050003,146.910004,147.960007,4340700,Thursday,BASELINE,0,5/3/13,149.259995,149.820007,149.199997,149.360001,5929900,Friday,1.366116064,5/6/13,149.360001,149.600006,149.139999,149.429993,3110600,Monday,1,0.9461975762139705,1,0.067001208,0,0,1,1,0.046861274,0,1,Baseline,,,0,1,5/1/13,Pause,Match,,,May,-0.1,0
2013-05-06 to 2013-05-13,5/9/13,150.899994,151.369995,150.389999,150.839996,3948500,Thursday,,0,5/10/13,150.910004,151.100006,150.289993,151.039993,4138200,Friday,1.048043561,5/13/13,150.75,151.009995,150.479996,150.860001,3841500,Monday,1,0.1325888393685692,1,0.086136768,0,-0.191997493,0.998080025,0,-0.119168438,0,0,Baseline,,,0,0,,,,,,May,0,0
2013-05-13 to 2013-05-20,5/16/13,152.639999,153.110001,152.240005,152.449997,8194700,Thursday,,0,5/17/13,152.419998,153.240005,152.210007,153.139999,5503200,Friday,0.671556006,5/20/13,153.039993,153.559998,152.820007,153.039993,4464700,Monday,1,0.4526087330785534,1,0.4723796151735919,0,-0.065303644,0.999346964,0,-0.065303644,0,0,Baseline,Upbeat,5.700000000000003,1,0,,,,,,May,0,0
2013-05-27 to 2013-06-03,5/30/13,152.860001,153.800003,152.600006,153.100006,8231800,Thursday,,0,5/31/13,152.610001,153.729996,150.899994,151.100006,7424700,Friday,0.9019534,6/3/13,151.539993,152.360001,151.100006,152.309998,10861300,Monday,0,-1.306335677,0,-0.98944695,1,0.2911892670606526,1.002911893,1,0.8007888497370408,0,0,Baseline,Baseline,0.7999999999999972,1,0,,,,,,May,0,1
2013-06-03 to 2013-06-10,6/6/13,149.380005,150.270004,148.309998,150.25,15155100,Thursday,BASELINE,0,6/7/13,151.160004,152.440002,150.699997,152.320007,8087900,Friday,0.533675132,6/10/13,152.789993,152.880005,151.979996,152.210007,4917900,Monday,1,1.3777084858569077,1,0.767400747,1,0.30855171901351464,1.003085517,0,-0.072216383,0,1,Baseline,,,0,0,,,,,,Jun,0.1,0
2013-06-10 to 2013-06-17,6/13/13,149.740005,151.990005,149.479996,151.759995,6208200,Thursday,,0,6/14/13,151.600006,152.009995,150.389999,150.660004,4639300,Friday,0.747285848,6/17/13,151.630005,152.580002,151.050003,151.779999,6693100,Monday,0,-0.72482277,0,-0.620054065,1,0.6438344446081555,1.006438344,1,0.7433923870067183,0,0,Baseline,Baseline,-1.8,1,0,,,,,,Jun,0,0
2013-06-17 to 2013-06-24,6/20/13,149.839996,149.880005,147.289993,147.580002,14309900,Thursday,,0,6/21/13,148.029999,148.279999,146.529999,147.729996,10968600,Friday,0.766504308,6/24/13,146.330002,147.429993,145.169998,146.279999,14129300,Monday,1,0.10163572162032658,0,-0.202663651,0,-0.947670776,0.990523292,0,-0.981518337,1,0,Baseline,,,0,1,6/19/13,Pause,Match,,,Jun,0,0
2013-06-24 to 2013-07-01,6/27/13,149.690002,150.419998,149.550003,149.899994,6584600,Thursday,,0,6/28/13,149.320007,150.029999,148.470001,148.550003,6719200,Friday,1.020441637,7/1/13,149.520004,150.5,149.220001,149.419998,4895800,Monday,0,-0.900594432,0,-0.515673697,1,0.6529794550054613,1.006529795,1,0.5856580157726343,0,0,Baseline,Baseline,1.2999999999999972,1,0,,,,,,Jun,0,1
2013-07-08 to 2013-07-15,7/11/13,154.350006,154.619995,153.710007,154.380005,5848400,Thursday,,0,7/12/13,154.419998,154.759995,153.889999,154.169998,6349800,Friday,1.08573285,7/15/13,154.559998,154.869995,154.330002,154.639999,2751600,Monday,0,-0.136032513,0,-0.16189613,1,0.25296750668701107,1.002529675,1,0.30485892592409347,0,0,Baseline,Baseline,-1.1,1,0,,,,,,Jul,0,0
2013-07-15 to 2013-07-22,7/18/13,154.979996,155.740005,154.559998,155.339996,6823000,Thursday,,0,7/19/13,154.880005,155.139999,154.570007,155.119995,4828400,Friday,0.70766525,7/22/13,155.119995,155.419998,154.809998,155.110001,3165700,Monday,0,-0.14162547,1,0.15495221607203427,0,0,1,0,-0.006442754,0,0,Baseline,,,0,0,,,,,,Jul,0,0
2013-07-22 to 2013-07-29,7/25/13,154.539993,155.25,154.199997,155.119995,5483500,Thursday,,0,7/26/13,154.479996,155.25,153.669998,155.160004,3859300,Friday,0.703802316,7/29/13,154.860001,155.139999,154.449997,154.929993,2592500,Monday,1,0.025792291,1,0.44019162196248807,0,-0.19335073,0.998066493,0,-0.148241167,0,0,Baseline,Baseline,1.0999999999999943,1,0,,,,,,Jul,0,1
2013-07-29 to 2013-08-05,8/1/13,155.889999,156.160004,155.669998,155.889999,4872400,Thursday,TIGHT,0,8/2/13,155.470001,156.240005,155.229996,156.199997,3620800,Friday,0.743124538,8/5/13,155.910004,156.009995,155.5,155.789993,3077100,Monday,1,0.19885688754158456,1,0.4695413876018435,0,-0.185654933,0.998143451,0,-0.262486561,0,1,Baseline,,,0,1,7/31/13,Pause,Match,,,Aug,-0.2,0
2013-08-05 to 2013-08-12,8/8/13,155.330002,155.449997,153.990005,154.690002,5071200,Thursday,,0,8/9/13,154.490005,154.949997,153.330002,154.110001,4550300,Friday,0.897282694,8/12/13,153.449997,154.300003,153.350006,154.029999,3697300,Monday,0,-0.374944077,0,-0.245973194,0,-0.428268117,0.995717319,0,-0.05191227,0,0,Baseline,,,0,0,,,,,,Aug,0,0
2013-08-12 to 2013-08-19,8/15/13,152.100006,152.100006,150.970001,151.119995,10021900,Thursday,,0,8/16/13,150.580002,151.059998,150.190002,150.5,7035200,Friday,0.701982658,8/19/13,150.300003,150.720001,149.660004,149.740005,4174100,Monday,0,-0.410266689,0,-0.053129233,0,-0.132888372,0.998671116,0,-0.504980066,0,0,Baseline,Shock,-5.5,1,0,,,,,,Aug,0,0
2013-08-19 to 2013-08-26,8/22/13,148.860001,149.610001,148.770004,149.399994,4227000,Thursday,,0,8/23/13,149.589996,150.009995,149.059998,149.830002,9601600,Friday,2.271492784,8/26/13,149.830002,150.270004,149.190002,149.210007,5770200,Monday,1,0.28782330473186973,1,0.16044254724092238,0,0,1,0,-0.413798967,0,0,Baseline,,,0,0,,,,,,Aug,0,0
2013-09-02 to 2013-09-09,9/5/13,149.179993,149.710007,149.020004,149.119995,6021300,Thursday,BASELINE,0,9/6/13,149.699997,149.970001,147.770004,149.089996,9001900,Friday,1.495009383,9/9/13,149.5,150.779999,149.479996,150.470001,4402500,Monday,0,-0.020117356,0,-0.407482306,1,0.27500436716088345,1.002750044,1,0.9256187786067032,0,1,Baseline,,,0,0,,,,,,Sep,-0.1,0
2013-09-09 to 2013-09-16,9/12/13,153.330002,153.410004,152.779999,153.029999,5555700,Thursday,,0,9/13/13,153.339996,153.800003,153.210007,153.690002,4829600,Friday,0.869305398,9/16/13,155.330002,155.490005,154.660004,154.940002,6569000,Monday,1,0.431289946,1,0.22825486443861595,1,1.0670830754495109,1.010670831,1,0.8133255148243151,0,0,Baseline,Shock,-5.2,1,0,,,,,,Sep,0,0
2013-09-16 to 2013-09-23,9/19/13,156.869995,156.919998,156.220001,156.320007,7626600,Thursday,,0,9/20/13,156.160004,156.190002,154.300003,154.300003,9381000,Friday,1.230036976,9/23/13,154.110001,154.320007,153.320007,153.710007,8662000,Monday,0,-1.292223586,0,-1.191086675,0,-0.12313804,0.99876862,0,-0.382369403,1,0,Baseline,,,0,1,9/18/13,Pause,Match,,,Sep,0,0
2013-09-23 to 2013-09-30,9/26/13,152.699997,153.539993,152.470001,152.949997,5026300,Thursday,,0,9/27/13,152.300003,152.440002,151.759995,152.210007,6634800,Friday,1.320016712,9/30/13,150.789993,151.539993,150.449997,151,9426100,Monday,0,-0.483811713,0,-0.059091266,0,-0.932930776,0.990670692,0,-0.794958902,0,0,Baseline,Baseline,-0.5,1,0,,,,,,Sep,0,1
2013-09-30 to 2013-10-07,10/3/13,150.660004,150.759995,149.169998,149.669998,10949200,Thursday,,0,10/4/13,149.679993,150.559998,149.429993,150.429993,6867800,Friday,0.627242173,10/7/13,149.119995,149.850006,148.910004,149,6081100,Monday,1,0.5077804571093825,1,0.5010689705203287,0,-0.870835645,0.991291644,0,-0.950603647,0,0,Baseline,,,0,0,,,,,,Oct,0,0
2013-10-07 to 2013-10-14,10/10/13,149.139999,151.009995,149.089996,150.960007,12792200,Thursday,,0,10/11/13,150.919998,152.220001,150.759995,152.169998,8186000,Friday,0.639921202,10/14/13,151.190002,152.880005,151.080002,152.800003,6470100,Monday,1,0.8015308319374961,1,0.8282533902498461,0,-0.64401394,0.993559861,1,0.4140139372282908,0,0,Baseline,Baseline,-0.8,1,0,,,,,,Oct,0,0
2013-10-14 to 2013-10-21,10/17/13,152.110001,153.589996,152.050003,153.479996,9916600,Thursday,,0,10/18/13,153.660004,153.800003,152.889999,153.600006,7714400,Friday,0.777927919,10/21/13,153.690002,153.759995,153.270004,153.529999,3588300,Monday,1,0.0781926,0,-0.039045945,1,0.058591144,1.000585911,0,-0.045577472,0,0,Baseline,,,0,0,,,,,,Oct,0,0
2013-10-21 to 2013-10-28,10/24/13,154.190002,154.949997,154.100006,154.800003,5182600,Thursday,,0,10/25/13,154.910004,155.449997,154.789993,155.449997,4565000,Friday,0.880832015,10/28/13,155.199997,155.649994,154.990005,155.369995,4968800,Monday,1,0.41989275672041965,1,0.3485849758289398,0,-0.160823419,0.998391766,0,-0.051464781,0,0,Baseline,Baseline,-1.8,1,0,,,,,,Oct,0,1
2013-10-28 to 2013-11-04,10/31/13,155.610001,156.179993,155.100006,155.289993,8157400,Thursday,,0,11/1/13,155.580002,156.149994,155.080002,155.860001,5909900,Friday,0.724483291,11/4/13,156.259995,156.360001,155.529999,156.059998,4042500,Monday,1,0.36706035526706565,1,0.17997107366022766,1,0.25663672361967477,1.002566367,1,0.12831836180983738,0,0,Baseline,,,0,1,10/30/13,Pause,Match,,,Nov,0,0
2013-11-04 to 2013-11-11,11/7/13,157.720001,157.800003,155.679993,155.850006,10211000,Thursday,BASELINE,0,11/8/13,155.660004,157.490005,155.580002,157.490005,7594900,Friday,0.743795906,11/11/13,157.330002,157.729996,157.149994,157.610001,3795200,Monday,1,1.0522931901587407,1,1.175639825886173,0,-0.101595654,0.998984043,1,0.076192772,0,1,Baseline,Baseline,-2.5,1,0,,,,,,Nov,0.1,0
2013-11-11 to 2013-11-18,11/14/13,158.100006,158.809998,157.949997,158.729996,6931000,Thursday,,0,11/15/13,158.570007,159.300003,158.479996,159.300003,6529100,Friday,0.942014139,11/18/13,159.710007,159.949997,159.070007,159.440002,5236000,Monday,1,0.35910477815422104,1,0.4603619649206422,1,0.25737852622638463,1.002573785,1,0.087883865,0,0,Baseline,,,0,0,,,,,,Nov,0,0
2013-11-18 to 2013-11-25,11/21/13,159.289993,159.880005,159.169998,159.860001,4579900,Thursday,,0,11/22/13,159.830002,160.429993,159.479996,160.399994,4466400,Friday,0.9752178,11/25/13,160.809998,160.850006,160.300003,160.610001,5114400,Monday,1,0.33779119018020104,1,0.35662390844491443,1,0.2556134758957752,1.002556135,1,0.1309270622541412,0,0,Baseline,,,0,0,,,,,,Nov,0,0
2013-12-02 to 2013-12-09,12/5/13,158.449997,158.889999,158.009995,158.119995,5823000,Thursday,TIGHT,0,12/6/13,159.529999,160.179993,159.130005,160.160004,6345300,Friday,1.089696033,12/9/13,160.289993,160.529999,160.110001,160.229996,3967700,Monday,1,1.2901651053049918,1,0.3949131849489843,1,0.081161961,1.00081162,1,0.043701298,0,1,Baseline,Upbeat,6.5,1,0,,,,,,Dec,-0.3,0
2013-12-09 to 2013-12-16,12/12/13,158.210007,158.429993,157.070007,157.470001,7078700,Thursday,,0,12/13/13,157.539993,157.970001,157.100006,157.649994,8886500,Friday,1.255385876,12/16/13,158.369995,159.369995,158.25,158.899994,7076500,Monday,1,0.11430304112336677,1,0.069824175,1,0.45670854893911156,1.004567085,1,0.7928956851086211,0,0,Baseline,,,0,0,,,,,,Dec,0,0
2013-12-16 to 2013-12-23,12/19/13,161.479996,162.009995,161.279999,161.880005,8018300,Thursday,,0,12/20/13,161.619995,162.529999,161.610001,162.009995,7978200,Friday,0.99499894,12/23/13,162.570007,162.850006,162.330002,162.619995,4992800,Monday,1,0.08030022,1,0.24130677642949738,1,0.34566509307033827,1.003456651,1,0.37651997952347643,1,0,Baseline,,,0,1,12/18/13,Pause,Match,,,Dec,0,0
2013-12-23 to 2013-12-30,12/26/13,163.600006,164.490005,163.580002,164.460007,4971600,Thursday,,0,12/27/13,164.759995,164.919998,164.220001,164.470001,6176900,Friday,1.242437042,12/30/13,164.550003,164.679993,164.399994,164.589996,4043600,Monday,1,0.006076857,0,-0.176009959,1,0.048642305,1.000486423,1,0.072958594,0,0,Baseline,,,0,0,,,,,,Dec,0,1
2013-12-30 to 2014-01-06,1/2/14,164.789993,165.009995,163.839996,164.110001,9291100,Thursday,,0,1/3/14,164.399994,164.869995,164.039993,164.389999,6127600,Friday,0.659512867,1/6/14,164.990005,165.059998,163.710007,163.889999,7446800,Monday,1,0.17061604917056686,0,-0.006079684,1,0.3649893568038817,1.003649894,0,-0.304154756,0,0,Baseline,,,0,0,,,,,,Jan,0,0
2014-01-06 to 2014-01-13,1/9/14,164.949997,164.990005,163.520004,164.190002,8212900,Thursday,TIGHT,0,1/10/14,164.559998,164.690002,163.520004,164.179993,7497200,Friday,0.912856604,1/13/14,163.899994,164.279999,162.139999,162.240005,10676100,Monday,0,-0.006095986,0,-0.230921855,0,-0.170543922,0.998294561,0,-1.18162266,0,1,Baseline,,,0,0,,,,,,Jan,-0.3,0
2014-01-20 to 2014-01-27,1/23/14,162.429993,162.429993,161.070007,161.710007,9456000,Thursday,,0,1/24/14,160.710007,160.889999,158.479996,158.479996,14663200,Friday,1.550676819,1/27/14,158.710007,159.110001,157.509995,158.020004,14215300,Monday,0,-1.997409474,0,-1.387599342,1,0.14513566746934448,1.001451357,0,-0.290252405,0,0,Baseline,,,0,0,,,,,,Jan,0,0
2014-01-27 to 2014-02-03,1/30/14,158.300003,158.770004,157.369995,158.169998,7864700,Thursday,,0,1/31/14,156.229996,157.699997,155.850006,156.75,10693100,Friday,1.359632281,2/3/14,156.570007,156.759995,153.25,153.529999,18172800,Monday,0,-0.897766971,1,0.3328451727029425,0,-0.11482807,0.998851719,0,-2.054227113,0,0,Baseline,Baseline,0.2000000000000028,1,1,1/29/14,Pause,Match,,,Jan,0,1
2014-02-03 to 2014-02-10,2/6/14,154.699997,156.149994,154.699997,156.139999,10426200,Thursday,BASELINE,0,2/7/14,156.559998,157.800003,156.050003,157.779999,11528500,Friday,1.105724041,2/10/14,157.759995,157.820007,157.130005,157.75,4790700,Monday,1,1.050339445691949,1,0.7792546088305369,0,-0.012678413,0.999873216,0,-0.019013183,0,1,Baseline,,,0,0,,,,,,Feb,-0.1,0
2014-02-17 to 2014-02-24,2/20/14,160.559998,161.720001,160.100006,161.309998,7035600,Thursday,,0,2/21/14,161.080002,161.619995,160.619995,160.809998,5268200,Friday,0.748791859,2/24/14,161.020004,162.690002,160.970001,161.660004,6704400,Monday,0,-0.309962188,0,-0.167621056,1,0.1305926264609448,1.001305926,1,0.5285778313360711,0,0,Baseline,,,0,0,,,,,,Feb,0,0
2014-02-24 to 2014-03-03,2/27/14,161.639999,162.559998,161.369995,162.550003,5292500,Thursday,,0,2/28/14,162.559998,163.770004,162.009995,163.020004,10010400,Friday,1.891431271,3/3/14,161.589996,162.190002,160.490005,161.490005,9144400,Monday,1,0.28914241238125127,1,0.28297613537125704,0,-0.877197868,0.991228021,0,-0.938534513,0,0,Baseline,Baseline,0.2999999999999971,1,0,,,,,,Feb,0,1
